subnum,group,session,tod,block,trial,targ,foil,studytime,rt,order,resp,corr
222,A,2,2,1,33,0010100000011111101110011,0010100001011111001110011,1005,1043,1,<lshift>,1
222,A,2,2,1,34,0010011001011101111011000,0010011001111101110011000,1005,2365,0,<rshift>,1
222,A,2,2,1,35,1110111010111011000100000,1010111010111011010100000,1005,2131,1,<lshift>,1
222,A,3,3,3,1,1010110110001111000100001,1010100110101111000100001,1005,871,0,<lshift>,0
222,A,3,3,3,2,1111101000000110111000110,1011101000000110111001110,1005,1449,1,<lshift>,1
222,A,3,3,3,3,0111100110000100011010100,0111000110000100011011100,1005,1037,1,<lshift>,1
222,A,3,3,3,4,0111010000111010000011101,0111010000111000010011101,1005,1029,0,<rshift>,1
222,A,3,3,3,5,0100110011000011011101000,0000110111000011011101000,1005,926,0,<rshift>,1
222,A,3,3,3,6,1011011011000010110100101,0111011011000010110100101,1006,891,0,<rshift>,1
222,A,3,3,3,7,0100101001001010011101110,0100101001000110011101110,1005,1116,1,<lshift>,1
222,A,3,3,3,8,1101001111010111100000001,1101001111010111100000100,1005,2420,1,<lshift>,1
222,A,3,3,3,9,0110000010001111010011110,0100000010101111010011110,1005,1342,1,<lshift>,1
222,A,3,3,3,10,0100101111100001010000111,0100101111100001110000101,1006,1044,1,<lshift>,1
222,A,3,3,3,11,1001001100110010100101101,1001001101110010100101001,1006,1086,1,<lshift>,1
222,A,3,3,3,12,0010111001110100001110001,0011011001110100001110001,1007,1243,0,<lshift>,0
222,A,3,3,3,13,1010000010011010110010101,1010000010011000110011101,1005,1309,0,<rshift>,1
222,A,3,3,3,14,0001001101111010011010000,0001001100111010011010010,1006,1014,0,<rshift>,1
222,A,3,3,3,15,0101001101011111110000100,0101001001011111110010100,1006,1067,1,<lshift>,1
222,A,3,3,3,16,0100110011010101010101000,0100010011010101110101000,1006,1206,1,<lshift>,1
222,A,3,3,3,17,0101010011010010011011110,0101001011010010011011110,1005,1117,1,<lshift>,1
222,A,3,3,3,18,0010111111010010110010100,0110111111010000110010100,1005,1610,0,<lshift>,0
222,A,3,3,3,19,1100100001100110100101100,1100100001100110100011100,1006,2637,0,<lshift>,0
222,A,3,3,3,20,1001101001110010010111001,1000101001110010011111001,1005,781,1,<lshift>,1
