subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
102,28,i264,23,PRESENT,5,3,389,-8,Stimuli/Probes/i264-3.png,1,1,280137,281043,906,161,389
102,29,i294,23,PRESENT,5,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,297128,297795,667,237,317
102,30,i9,120,PRESENT,5,2,30,45,Stimuli/Probes/i9-2.png,1,1,305568,306203,635,104,54
102,31,i9,103,ABSENT,3,2,30,45,Stimuli/Probes/i9-2.png,0,1,309320,309922,602,104,54
102,32,i264,100,PRESENT,4,1,-264,103,Stimuli/Probes/i264-1.png,1,1,312176,312578,402,155,283
102,33,i294,0,ABSENT,1,3,310,152,Stimuli/Probes/i294-3.png,0,1,314888,315635,747,259,345
102,34,i264,23,ABSENT,3,1,-264,103,Stimuli/Probes/i264-1.png,0,1,317793,318347,554,155,283
102,35,i9,20,PRESENT,4,2,30,45,Stimuli/Probes/i9-2.png,1,1,320665,321067,402,104,54
102,36,i294,100,PRESENT,4,1,-239,260,Stimuli/Probes/i294-1.png,1,1,325423,326010,587,238,353
102,37,i264,103,ABSENT,3,2,26,141,Stimuli/Probes/i264-2.png,0,1,328271,329154,883,172,143
102,38,i294,120,ABSENT,3,3,310,152,Stimuli/Probes/i294-3.png,1,0,331855,333370,1515,259,345
102,39,i294,103,PRESENT,5,1,-239,260,Stimuli/Probes/i294-1.png,1,1,336144,337065,921,238,353
102,40,i264,3,PRESENT,4,3,389,-8,Stimuli/Probes/i264-3.png,1,1,339023,339633,610,161,389
102,41,i9,3,PRESENT,4,3,248,74,Stimuli/Probes/i9-3.png,1,1,341664,342505,841,80,259
102,42,i9,120,ABSENT,3,3,248,74,Stimuli/Probes/i9-3.png,0,1,345039,345850,811,80,259
102,43,i9,103,PRESENT,5,1,-234,30,Stimuli/Probes/i9-1.png,1,1,348119,348626,507,92,236
102,44,i264,120,ABSENT,3,3,389,-8,Stimuli/Probes/i264-3.png,0,1,350936,351690,754,161,389
102,45,i9,0,ABSENT,1,1,-234,30,Stimuli/Probes/i9-1.png,0,1,354118,354553,435,92,236
103,1,i294,100,PRESENT,4,1,-239,260,Stimuli/Probes/i294-1.png,1,1,115299,116902,1603,238,353
103,2,i294,103,ABSENT,3,2,-237,-211,Stimuli/Probes/i294-2.png,1,0,124107,125590,1483,237,317
103,3,i9,100,PRESENT,4,1,-234,30,Stimuli/Probes/i9-1.png,1,1,132267,132934,667,92,236
103,4,i294,120,ABSENT,3,3,310,152,Stimuli/Probes/i294-3.png,1,0,137500,138438,938,259,345
103,5,i264,20,PRESENT,4,2,26,141,Stimuli/Probes/i264-2.png,1,1,143570,144893,1323,172,143
103,6,i264,120,PRESENT,5,2,26,141,Stimuli/Probes/i264-2.png,1,1,153275,155061,1786,172,143
103,7,i264,23,ABSENT,3,1,-264,103,Stimuli/Probes/i264-1.png,0,1,182290,185149,2859,155,283
103,8,i294,0,ABSENT,1,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,190545,192132,1587,237,317
103,9,i9,0,ABSENT,1,3,248,74,Stimuli/Probes/i9-3.png,0,1,197002,198444,1442,80,259
103,10,i294,3,PRESENT,4,3,310,152,Stimuli/Probes/i294-3.png,1,1,205065,206356,1291,259,345
103,11,i264,103,PRESENT,5,3,389,-8,Stimuli/Probes/i264-3.png,1,1,212441,213596,1155,161,389
103,12,i9,103,ABSENT,3,2,30,45,Stimuli/Probes/i9-2.png,0,1,219559,221131,1572,104,54
103,13,i264,100,PRESENT,4,1,-264,103,Stimuli/Probes/i264-1.png,1,1,226793,227452,659,155,283
103,14,i9,0,ABSENT,1,2,30,45,Stimuli/Probes/i9-2.png,0,1,232417,233124,707,104,54
103,15,i9,3,ABSENT,2,2,30,45,Stimuli/Probes/i9-2.png,0,1,237024,237899,875,104,54
103,16,i294,20,PRESENT,4,2,-237,-211,Stimuli/Probes/i294-2.png,1,1,245928,247011,1083,237,317
103,17,i9,120,ABSENT,3,3,248,74,Stimuli/Probes/i9-3.png,0,1,251265,252395,1130,80,259
103,18,i264,0,ABSENT,1,3,389,-8,Stimuli/Probes/i264-3.png,0,1,258208,259515,1307,161,389
103,19,i9,103,PRESENT,5,3,248,74,Stimuli/Probes/i9-3.png,1,1,265440,266123,683,80,259
103,20,i9,23,ABSENT,3,1,-234,30,Stimuli/Probes/i9-1.png,0,1,273000,274027,1027,92,236
103,21,i9,0,ABSENT,1,1,-234,30,Stimuli/Probes/i9-1.png,0,1,279920,280627,707,92,236
103,22,i264,100,ABSENT,2,3,389,-8,Stimuli/Probes/i264-3.png,0,1,285863,287018,1155,161,389
