subject,cult,dare,fate,guess,hint,mood,oath,plea,rush,verb,zeal,time
s03,0,0,1,0,1,1,0,1,1,0,1,0.3320313
s03,0,1,1,0,0,0,1,1,1,0,0,2.472656
s03,1,0,0,1,0,0,0,0,0,0,1,3.839844
s03,0,1,1,0,0,1,0,0,1,0,0,4.890625
s03,1,1,0,0,1,1,1,0,0,1,0,8.949219
s05,1,1,0,1,1,0,0,0,0,0,0,3.898438
s05,0,1,0,0,0,0,0,1,1,1,1,5.332031
s05,0,0,1,0,1,1,0,1,1,0,1,6.039063
s05,0,0,1,0,0,1,1,1,0,1,1,5.382813
s05,0,0,1,1,1,0,0,0,1,0,0,3.570313
s05,1,1,0,0,0,0,1,1,0,1,1,4.777344
s05,0,0,1,1,1,1,0,0,0,1,0,4.617188
s05,1,1,0,0,0,0,1,1,0,1,0,4.230469
s05,1,1,0,0,1,0,0,0,1,0,1,5.160156
s05,1,0,0,1,0,1,1,0,1,0,0,6.039063
s05,1,1,0,1,0,0,0,0,1,0,1,4.289063
s05,0,1,1,0,0,1,1,0,0,0,0,3.019531
s05,1,0,0,1,1,0,0,1,0,0,0,2.96875
s05,0,0,0,0,0,0,1,1,1,0,0,2.03125
s05,0,0,1,0,0,1,1,1,0,1,1,5.550781
s05,0,0,1,1,0,0,0,0,0,0,1,3.300781
s05,0,1,1,0,0,1,1,0,0,0,0,3.410156
s05,1,0,0,0,0,1,0,0,0,1,0,2.910156
s05,1,1,1,1,1,0,0,1,0,0,0,4.828125
s05,0,0,0,1,0,0,0,0,1,0,1,3.347656
s05,1,1,1,0,1,0,0,0,0,1,1,5.660156
s05,0,0,0,1,1,0,0,0,1,0,0,2.800781
s05,0,0,0,0,0,1,0,1,0,1,0,3.347656
s05,0,0,1,0,1,0,1,0,1,0,0,3.898438
s05,0,0,0,1,0,1,0,0,0,1,0,2.582031
s05,0,1,1,1,1,0,0,0,0,1,0,4.449219
s07,0,1,1,0,0,0,0,0,0,0,1,3.507813
s07,1,1,0,1,0,0,0,0,1,0,1,5.171875
s07,0,0,1,0,1,0,1,1,1,1,0,7.359375
s07,1,1,1,1,0,0,0,0,0,0,0,5
s07,0,0,0,1,0,0,0,1,1,1,0,4.230469
s07,1,1,1,0,0,1,1,0,0,0,0,5.382813
s07,0,0,0,0,0,0,0,1,0,1,1,3.789063
s07,0,1,1,0,1,0,0,0,0,0,0,3.570313
s07,0,0,0,0,1,1,1,1,1,1,0,6.429688
s07,0,0,1,0,1,1,1,0,0,1,1,9.511719
s07,0,0,0,1,1,1,0,0,0,0,0,3.410156
s07,1,1,0,0,1,0,0,0,1,0,1,6.539063
s07,1,0,1,1,0,1,0,1,1,0,0,8.351563
s07,1,0,0,0,0,1,1,1,0,1,1,7.042969
s07,1,1,1,0,1,0,1,1,0,0,0,7.03125
s07,1,0,0,1,0,0,0,1,1,0,1,6.152344
s07,0,0,1,0,0,1,0,0,0,1,0,3.03125
s07,0,1,0,0,1,0,1,0,1,1,1,6.859375
s07,0,0,1,1,1,0,0,0,0,0,0,4.390625
s07,0,0,0,1,0,0,0,0,1,1,1,4.78125
s07,1,1,0,1,0,1,0,0,0,0,0,4.070313
s07,1,0,1,0,1,0,1,0,0,1,0,6.320313
s07,0,1,0,0,0,0,0,1,1,0,1,4.179688
s07,0,0,0,1,0,1,1,0,0,0,0,3.128906
s07,1,1,1,1,1,0,0,0,0,0,0,5.058594
s07,0,1,0,0,0,1,1,0,1,0,0,4.558594
s07,1,0,0,0,0,0,0,1,1,1,1,5.109375
s01,0,0,0,0,1,1,1,1,0,0,0,3.847656
s01,0,1,1,1,0,0,1,0,0,1,1,8.132813
s01,1,0,0,0,1,0,1,1,0,0,0,5.378906
s01,0,0,0,1,0,1,0,0,1,0,0,4.121094
s01,0,0,1,0,1,1,0,1,0,0,0,4.878906
s01,1,0,1,0,0,0,0,0,0,1,0,3.730469
s01,0,1,0,1,0,0,0,0,0,1,0,3.898438
s01,0,0,0,0,0,0,1,0,1,0,1,3.789063
s01,0,0,0,1,0,1,1,0,1,1,0,6.980469
s01,0,1,1,0,1,0,0,0,0,0,0,4.007813
s01,0,0,0,1,0,0,1,0,1,0,1,4.828125
s01,1,0,0,0,0,1,0,1,0,0,1,4.167969
s01,0,1,1,1,0,1,0,1,0,0,0,5.21875
s01,0,0,1,0,1,0,0,0,1,1,1,4.949219
s01,1,1,1,0,1,0,0,0,1,0,0,5.160156
s01,1,1,0,1,0,1,1,1,0,0,0,6.257813
s01,1,0,0,1,0,0,1,0,0,1,1,5.160156
s01,1,0,0,0,1,0,0,0,1,1,0,4.390625
s01,0,1,0,1,0,0,1,1,1,0,1,5.660156
s01,1,0,1,0,1,1,0,0,0,1,1,5.492188
s01,0,1,0,0,1,0,0,1,1,1,1,5.878906
s01,1,1,0,0,1,0,0,1,0,0,1,4.71875
s01,0,1,1,0,0,1,1,0,1,1,0,5.710938
s01,0,0,1,1,1,0,0,0,0,0,0,3.132813
s01,1,1,0,0,0,0,0,1,0,0,1,3.839844
s01,1,1,1,0,0,1,1,0,1,0,0,5.382813
